type,broker,price,beds,baths,sqft,address,state,address_full,lat,lon,sub_locality
Condo,Douglas Elliman  -111 Fifth Ave,315000,2,2,1400,2 E 55th St Unit 803,"New York, NY 10022","2 E 55th St Unit 803New York, NY 10022",40.761255,-73.9744834,New York County
House,Sowae Corp,260000,4,2,2015,620 Sinclair Ave,"Staten Island, NY 10312","620 Sinclair AveStaten Island, NY 10312",40.5418051,-74.1961086,Richmond County
Condo,COMPASS,69000,3,1,445,2 E 55th St Unit 908W33,"Manhattan, NY 10022","2 E 55th St Unit 908W33Manhattan, NY 10022",40.7613979,-73.9746128,New York County
Condo,Douglas Elliman - 575 Madison Ave,899500,2,2,2184,157 W 126th St Unit 1B,"New York, NY 10027","157 W 126th St Unit 1BNew York, NY 10027",40.809448,-73.946777,New York County
Co-op,Pantiga Group Inc.,265000,1,1,750,875 Morrison Ave Apt 3M,"Bronx, NY 10473","875 Morrison Ave Apt 3MBronx, NY 10473",40.8215857,-73.8740892,Bronx County
Co-op,CENTURY 21 MK Realty,440000,2,1,978,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230","1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",40.6157378,-73.9696944,Kings County
Co-op,Engel & Volkers Americas,375000,2,1,850,800 Grand Concourse Apt 2JS,"Bronx, NY 10451","800 Grand Concourse Apt 2JSBronx, NY 10451",40.8248699,-73.9229829,Bronx County
Townhouse,Re/Max Edge,689000,3,2,1162,456 Van Name Ave,"Staten Island, NY 10303","456 Van Name AveStaten Island, NY 10303",40.6249962,-74.1553058,Richmond County
Co-op,COMPASS,259000,3,1,2184,34-41 85th St Unit 1D,"Jackson Heights, NY 11372","34-41 85th St Unit 1DJackson Heights, NY 11372",40.7531191,-73.8818757,Queens County
Co-op,Jamie & Connie Real Estate Grp,430000,2,2,2184,91-15 Lamont Ave Unit 6D,"Elmhurst, NY 11373","91-15 Lamont Ave Unit 6DElmhurst, NY 11373",40.7438639,-73.8745722,Queens County
Co-op,Corcoran Chelsea/Flatiron,895000,3,1,2184,61 Jane St Apt 6N,"New York, NY 10014","61 Jane St Apt 6NNew York, NY 10014",40.7382981,-74.0058899,New York County
Condo,Awaye Realty,549000,2,2,1000,4654 Amboy Rd Unit 2B,"Staten Island, NY 10312","4654 Amboy Rd Unit 2BStaten Island, NY 10312",40.5406209,-74.1671632,Richmond County
Townhouse,Realty Executives Today,975000,3,2,1734,28-31 Hobart St,"Woodside, NY 11377","28-31 Hobart StWoodside, NY 11377",40.7607676,-73.9056672,Queens County
Co-op,Dorsa Group Realty,199000,3,1,325,9430 Ridge Blvd Apt 6D,"Brooklyn, NY 11209","9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",40.6181029,-74.0369047,Kings County
Co-op,Coldwell Banker Realty,350000,1,1,700,5800 Arlington Ave Apt 21A,"Bronx, NY 10471","5800 Arlington Ave Apt 21ABronx, NY 10471",40.9073699,-73.9065578,Bronx County
Condo,Keller Williams Rlty Landmark,599000,2,2,974,92-29 Queens Blvd Unit 3H,"Rego Park, NY 11374","92-29 Queens Blvd Unit 3HRego Park, NY 11374",40.7324713,-73.8670804,Queens County
House,Radiant Estates LLC,639999,3,2,1260,27 Clove Way,"Staten Island, NY 10301","27 Clove WayStaten Island, NY 10301",40.6207403,-74.1114362,Richmond County
Condo,"Apaus, Inc",1300000,2,2,1244,10724 71st Rd Apt 9F,"Forest Hills, NY 11375","10724 71st Rd Apt 9FForest Hills, NY 11375",40.7202429,-73.8430513,Queens County
Multi-family home,Keller Williams Ny Realty,1100000,6,3,2837,1038 Throggs Neck Expy Unit Sr,"Bronx, NY 10465","1038 Throggs Neck Expy Unit SrBronx, NY 10465",40.8343936,-73.8221101,Bronx County
Condo,Martino Realty Group,349900,1,1,651,165 Cromwell Ave Apt 2B,"Staten Island, NY 10304","165 Cromwell Ave Apt 2BStaten Island, NY 10304",40.5902064,-74.0958034,Richmond County
House,Elizabeth Marra,750000,2,2,1330,280 Loretto St,"Staten Island, NY 10307","280 Loretto StStaten Island, NY 10307",40.5039785,-74.2396555,Richmond County
Multi-family home,CENTURY 21 Milestone Realty,1690000,6,4,2200,149-07 85 Rd,"Briarwood, NY 11435","149-07 85 RdBriarwood, NY 11435",40.710749,-73.809486,Queens County
Co-op,"Nest Seekers International, Long Island",325000,1,1,2184,35-45 81st St Unit E1,"Queens, NY 11372","35-45 81st St Unit E1Queens, NY 11372",40.7505078,-73.8851355,Queens County
Co-op,Du Chris Realty,230000,1,1,2184,33-24 Junction Blvd Unit 6R,"Jackson Heights, NY 11372","33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",40.7557689,-73.8734231,Queens County
Multi-family home,NoBroker,925000,5,2,2750,543 Hollywood Ave,"Bronx, NY 10465","543 Hollywood AveBronx, NY 10465",40.8242389,-73.8173809,Bronx County
Condo,Get Listed Get Sold NYC,329000,1,2,794,47 Lynn Ct,"Staten Island, NY 10314","47 Lynn CtStaten Island, NY 10314",40.6210398,-74.1504313,Richmond County
Multi-family home,RE MAX Edge,848000,5,4,2080,544 Hinsdale St,"Brooklyn, NY 11207","544 Hinsdale StBrooklyn, NY 11207",40.6615475,-73.898309,Kings County
Co-op,H P Greenfield Real Estate Ltd,279000,1,1,750,1801 Ocean Ave Apt 4A,"Brooklyn, NY 11230","1801 Ocean Ave Apt 4ABrooklyn, NY 11230",40.6179165,-73.9546305,Kings County
Condo,Ashford Homes LLC,528000,1,1,602,1238 63rd St Unit 432,"Brooklyn, NY 11219","1238 63rd St Unit 432Brooklyn, NY 11219",40.6275896,-74.0016198,Kings County
Co-op,E Realty International Corp,275000,1,1,2184,44-55 Kissena Blvd Unit 5F,"Flushing, NY 11355","44-55 Kissena Blvd Unit 5FFlushing, NY 11355",40.7528774,-73.8211834,Queens County
Condo,Corcoran Park Slope,1165000,1,1,815,338 Berry St Apt 4E,"Brooklyn, NY 11249","338 Berry St Apt 4EBrooklyn, NY 11249",40.711969,-73.9649468,Kings County
Multi-family home,Staten Island Homes Realty Corp,1199000,6,5,3290,10 Simon Ct,"Staten Island, NY 10307","10 Simon CtStaten Island, NY 10307",40.5159256,-74.2361135,Richmond County
Multi-family home,Exp Realty,700000,6,2,3053,229 W Tremont Ave Unit A,"Bronx, NY 10453","229 W Tremont Ave Unit ABronx, NY 10453",40.852813,-73.9176871,Bronx County
Multi-family home,E Realty International Corp,1280000,7,5,2460,86-05 91st Ave,"Woodhaven, NY 11421","86-05 91st AveWoodhaven, NY 11421",40.688312,-73.856322,Queens County
Co-op,Brown Harris Stevens,199900,1,1,2184,828 Gerard Ave Apt 5F,"Bronx, NY 10451","828 Gerard Ave Apt 5FBronx, NY 10451",40.8260352,-73.9256625,Bronx County
Co-op,Winzone Realty Inc,369000,2,1,2184,43-40 Union St Unit 3D,"Flushing, NY 11355","43-40 Union St Unit 3DFlushing, NY 11355",40.753455,-73.8209077,Queens County
Multi-family home,Prestige Homes Ny Inc,699000,4,3,1591,111-31 141st St,"Jamaica, NY 11435","111-31 141st StJamaica, NY 11435",40.6847504,-73.8027331,Queens County
Multi-family home,Weichert Realtors TMT Group,825000,2,2,2184,32-39 Jordan St,"Flushing, NY 11358","32-39 Jordan StFlushing, NY 11358",40.768457,-73.789417,Queens County
Condo,American Homes Group,329000,2,1,837,55 Austin Pl Apt 4L,"Staten Island, NY 10304","55 Austin Pl Apt 4LStaten Island, NY 10304",40.6315346,-74.0856344,Richmond County
Multi-family home,Wonica REALTORS & Appraisers,889000,2,2,1520,17 S Greenleaf Ave,"Staten Island, NY 10314","17 S Greenleaf AveStaten Island, NY 10314",40.6233188,-74.1259917,Richmond County
Multi-family home,First Class Homes Inc,769000,2,2,2184,101-55 112th St,"Richmond Hill South, NY 11419","101-55 112th StRichmond Hill South, NY 11419",40.6868333,-73.8309133,Queens County
Multi-family home,eXp Realty BKNY,1200000,4,2,2536,66 Bay 22nd St,"Brooklyn, NY 11214","66 Bay 22nd StBrooklyn, NY 11214",40.6042861,-74.0012526,Kings County
Co-op,VYLLA HOME,220500,2,1,900,350 Richmond Ter Apt 3M,"Staten Island, NY 10301","350 Richmond Ter Apt 3MStaten Island, NY 10301",40.6481488,-74.0847983,Richmond County
Multi-family home,RE MAX Edge,1999000,3,3,2739,259 80th St,"Brooklyn, NY 11209","259 80th StBrooklyn, NY 11209",40.6281691,-74.0297598,Kings County
Co-op,Douglas Elliman  -111 Fifth Ave,3250000,2,2,1300,240 Centre St Unit 2M,"New York, NY 10013","240 Centre St Unit 2MNew York, NY 10013",40.7199716,-73.9980266,New York County
Condo,Douglas Elliman  -111 Fifth Ave,1650000,2,2,1267,473 Hicks St Apt 4,"Brooklyn, NY 11231","473 Hicks St Apt 4Brooklyn, NY 11231",40.6866098,-73.9997131,Kings County
Multi-family home,"Homes R Us Realty of NY, Inc.",1049000,4,4,2554,342 Manhattan St,"Staten Island, NY 10307","342 Manhattan StStaten Island, NY 10307",40.5016233,-74.2417531,Richmond County
House,American Homes Group,998800,3,4,2400,1191 Clove Rd,"Staten Island, NY 10301","1191 Clove RdStaten Island, NY 10301",40.6175,-74.103996,Richmond County
House,American Homes Group,998800,3,4,2400,Waldron Ave,"Staten Island, NY 10301","Waldron AveStaten Island, NY 10301",40.618648,-74.1019085,New York County
For sale,DEGI - Douglas Elliman Real Estate,3150000,3,2,1952,184 Lincoln Pl Unit 2,"Brooklyn, NY 11217","184 Lincoln Pl Unit 2Brooklyn, NY 11217",40.6754035,-73.9742051,Kings County
Co-op,Brown Harris Stevens - 445 Park Avenue,849000,1,1,2184,263 W End Ave Apt 14C,"Manhattan, NY 10023","263 W End Ave Apt 14CManhattan, NY 10023",40.7802357,-73.9846328,New York County
Co-op,Piastro Realty LLC,559500,1,1,800,50 Brighton 1 Rd Unit 5H,"Brooklyn, NY 11235","50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",40.5751942,-73.9669983,Kings County
Co-op,Douglas Elliman - 575 Madison Ave,750000,1,1,835,333 E 66th St Apt 8E,"New York, NY 10065","333 E 66th St Apt 8ENew York, NY 10065",40.7643711,-73.9593578,New York County
Condo,Douglas Elliman - 575 Madison Ave,1900000,2,2,1029,150 Rivington St Apt 3G,"New York, NY 10002","150 Rivington St Apt 3GNew York, NY 10002",40.7193408,-73.9856438,New York County
Condo,Corcoran Williamsburg Bedford,1250000,2,2,1201,1105 Cortelyou Rd # 301,"Brooklyn, NY 11218","1105 Cortelyou Rd # 301Brooklyn, NY 11218",40.6400234,-73.9676099,Kings County
Condo,COMPASS,1395000,2,2,1182,737 Bergen St Apt 1B,"Brooklyn, NY 11238","737 Bergen St Apt 1BBrooklyn, NY 11238",40.6787789,-73.9643728,Kings County
Co-op,Monticello Real Estate Group,198000,1,1,2184,83-55 Woodhaven Blvd Unit 1A,"Woodhaven, NY 11421","83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",40.700309,-73.8535466,Queens County
Contingent,Better Homes and Gardens Real Estate Safari Realty,619888,3,2,1400,35 Center Pl,"Staten Island, NY 10306","35 Center PlStaten Island, NY 10306",40.5632116,-74.1002521,Richmond County
Multi-family home,Ashford Homes,1489000,6,2,3780,205 Wiman Ave,"Staten Island, NY 10308","205 Wiman AveStaten Island, NY 10308",40.5395319,-74.1450877,Richmond County
Condo,Serhant,1595000,3,3,1413,924 Lafayette Ave Unit Ph,"Brooklyn, NY 11221","924 Lafayette Ave Unit PhBrooklyn, NY 11221",40.6915139,-73.935444,Kings County
Condo,Douglas Elliman - 575 Madison Ave,655000,3,2,803,1504 Jefferson Ave Unit Gardenb,"Brooklyn, NY 11237","1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",40.6967268,-73.9074036,Kings County
Condo,Serhant,1175000,2,2,1115,924 Lafayette Ave Apt 2,"Brooklyn, NY 11221","924 Lafayette Ave Apt 2Brooklyn, NY 11221",40.6915139,-73.935444,Kings County
Multi-family home,Momentum Real Estate LLC,798000,3,4,2150,425 Father Capodanno Blvd,"Staten Island, NY 10305","425 Father Capodanno BlvdStaten Island, NY 10305",40.5874844,-74.0701056,Richmond County
Land,"Apaus, Inc",1685000,3,2,2184,519 Fairview Ave,"Ridgewood, NY 11385","519 Fairview AveRidgewood, NY 11385",40.7083434,-73.9081614,Queens County
Land,"Dom Realty, Inc",2550000,3,2,2184,234 Ocean View Ave,"Brooklyn, NY 11235","234 Ocean View AveBrooklyn, NY 11235",40.5785288,-73.9655666,Kings County
Land,Meyers Enterprise Realty Group,119000,3,2,2184,3652 DE Reimer Ave,"Bronx, NY 10466","3652 DE Reimer AveBronx, NY 10466",40.8841699,-73.8388387,Bronx County
Foreclosure,Gosen Properties Inc,269000,5,2,2184,24149 148th Dr,"Rosedale, NY 11422","24149 148th DrRosedale, NY 11422",40.6534433,-73.741373,Queens County
Condo,Douglas Elliman - 575 Madison Ave,1650000,2,2,1065,200 E 94th St Apt 414,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",40.7833546,-73.9499982,New York County
Multi-family home,Sowae Corp,250000,5,2,2184,130-24 150th St,"Jamaica, NY 11436","130-24 150th StJamaica, NY 11436",40.66911,-73.789339,Queens County
Pending,Charles Rutenberg Realty Inc,950000,6,2,3384,254-06 Craft Ave Unit 2,"Jamaica, NY 11422","254-06 Craft Ave Unit 2Jamaica, NY 11422",40.6499031,-73.7354706,Queens County
House,Keller Williams Realty Empire,585000,3,2,1100,192 Colfax Ave,"Staten Island, NY 10306","192 Colfax AveStaten Island, NY 10306",40.5784263,-74.105437,Richmond County
House,"Tom Marco Real Estate, Inc.",595000,3,1,1316,1509 E 48th St,"Brooklyn, NY 11234","1509 E 48th StBrooklyn, NY 11234",40.6239146,-73.9291226,Kings County
Condo,Engel & Volkers Brownstone Brooklyn,215000,1,1,625,195 Prince St Unit 1LL,"New York, NY 10012","195 Prince St Unit 1LLNew York, NY 10012",40.7267732,-74.002538,New York County
For sale,Built by Toll Brothers,950000,1,1,621,The Rockwell # 3A,"New York, NY 10025","The Rockwell # 3ANew York, NY 10025",40.7986579,-73.9679035,New York County
House,Sowae Corp,314000,3,1,1572,850 E 39th St,"Brooklyn, NY 11210","850 E 39th StBrooklyn, NY 11210",40.6362368,-73.939679,Kings County
Condo,Brown Harris Stevens,395000,5,1,1000,110 E 71st St Unit Medical,"Manhattan, NY 10021","110 E 71st St Unit MedicalManhattan, NY 10021",40.7700395,-73.9638872,New York County
Multi-family home,Prospes Real Estate Corp,600000,2,2,2184,1406 Mac Donough Pl,"Bronx, NY 10465","1406 Mac Donough PlBronx, NY 10465",40.8429545,-73.8249591,Bronx County
Multi-family home,EXP Realty,790000,6,3,2520,78 Mountainview Ave,"Staten Island, NY 10314","78 Mountainview AveStaten Island, NY 10314",40.6105856,-74.1268175,Richmond County
Co-op,STROFFOLINO REALTY LLC,539000,2,2,1100,9425 Shore Rd Apt 4F,"Brooklyn, NY 11209","9425 Shore Rd Apt 4FBrooklyn, NY 11209",40.6170731,-74.0383836,Kings County
Co-op,Douglas Elliman - 3544 Johnson Ave,1295000,4,2,1995,2501 Palisade Ave Apt H2,"Bronx, NY 10463","2501 Palisade Ave Apt H2Bronx, NY 10463",40.8809873,-73.9224337,Bronx County
House,Sowae Corp,245000,3,1,2184,2942 Lurting Ave,"Bronx, NY 10469","2942 Lurting AveBronx, NY 10469",40.8690109,-73.8564445,Bronx County
House,Americas Real Estate Advisors,400000,7,3,2385,340 E 234th St,"Bronx, NY 10470","340 E 234th StBronx, NY 10470",40.8969146,-73.8654984,Bronx County
Co-op,Brown Harris Stevens,280000,1,1,1000,8015 6th Ave Apt A1,"Brooklyn, NY 11209","8015 6th Ave Apt A1Brooklyn, NY 11209",40.6241766,-74.0216837,Kings County
House,Top Choice Realty LLC,899000,3,2,1440,40 Adelphi Ave,"Staten Island, NY 10309","40 Adelphi AveStaten Island, NY 10309",40.5159004,-74.2314825,Richmond County
For sale,Built by Toll Brothers,2280000,2,2,1400,The Rockwell # 6E,"New York, NY 10025","The Rockwell # 6ENew York, NY 10025",40.7986579,-73.9679035,New York County
Coming Soon,Cross Country Realty,649000,4,3,2184,194 Carroll St,"Brooklyn, NY 11231","194 Carroll StBrooklyn, NY 11231",40.6813429,-73.9981509,Kings County
Pending,Charles Rutenberg Realty Inc,739000,6,4,2184,38 Dare Ct,"Brooklyn, NY 11229","38 Dare CtBrooklyn, NY 11229",40.5877991,-73.9216187,Kings County
House,AmeriHomes Realty,1495000,4,2,3000,31 4th Ct,"Staten Island, NY 10312","31 4th CtStaten Island, NY 10312",40.5247627,-74.1681035,Richmond County
House,Douglas Elliman - 187 Seventh Ave,3950000,5,2,3528,591 4th St,"Brooklyn, NY 11215","591 4th StBrooklyn, NY 11215",40.6680619,-73.9748375,Kings County
Condo,Avenues - Headquarters,325000,2,1,979,122 E 102nd St Apt 5B,"New York, NY 10029","122 E 102nd St Apt 5BNew York, NY 10029",40.7897507,-73.9487257,New York County
Pending,Corcoran Chelsea/Flatiron,299999,3,1,2184,215 W 75th St Apt 4D,"New York, NY 10023","215 W 75th St Apt 4DNew York, NY 10023",40.7810583,-73.9808407,New York County
House,Compass Realty Central Inc.,694000,3,3,1360,364 Armstrong Ave,"Staten Island, NY 10308","364 Armstrong AveStaten Island, NY 10308",40.5423126,-74.1555672,Richmond County
House,Douglas Elliman - 3544 Johnson Ave,688888,4,2,2846,761 S Oak Dr,"Bronx, NY 10467","761 S Oak DrBronx, NY 10467",40.8726182,-73.8651768,Bronx County
House,Sowae Corp,400000,4,2,1980,781 Sheperd Ave,"Brooklyn, NY 11208","781 Sheperd AveBrooklyn, NY 11208",40.665357,-73.8770867,Kings County
Multi-family home,Sowae Corp,346000,5,2,2184,103-12 104th St,"Ozone Park, NY 11417","103-12 104th StOzone Park, NY 11417",40.6837891,-73.8381042,Queens County
House,Sowae Corp,265000,3,1,2184,135-38 224th St,"Springfield Gardens, NY 11413","135-38 224th StSpringfield Gardens, NY 11413",40.67538,-73.7472571,Queens County
House,Winzone Realty Inc,319000,3,2,1224,57 Neutral Ave,"Staten Island, NY 10306","57 Neutral AveStaten Island, NY 10306",40.5604695,-74.1018925,Richmond County
Multi-family home,Sowae Corp,309000,6,2,2184,2918 Brookhaven Ave,"Far Rockaway, NY 11691","2918 Brookhaven AveFar Rockaway, NY 11691",40.5980695,-73.7632649,Queens County
House,Keller Williams Realty Liberty,650000,3,2,1522,237-14 93rd Rd,"Bellerose, NY 11426","237-14 93rd RdBellerose, NY 11426",40.723245,-73.7293286,Queens County
House,Rise Realty,799000,4,2,1975,604 Lamont Ave,"Staten Island, NY 10312","604 Lamont AveStaten Island, NY 10312",40.5387812,-74.193378,Richmond County
Co-op,Berkshire Hathaway HomeServices New York Properties - Eastchester,259000,3,2,1089,7E Edgewater Park Unit E,"Bronx, NY 10465","7E Edgewater Park Unit EBronx, NY 10465",40.8246371,-73.8072061,Bronx County
House,DiTommaso Real Estate,1195000,4,4,2704,52 Indale Ave,"Staten Island, NY 10309","52 Indale AveStaten Island, NY 10309",40.5143019,-74.2044734,Richmond County
Condo,Salmon Realty Group,189000,2,2,966,20 Cliff St Apt 6D,"Staten Island, NY 10305","20 Cliff St Apt 6DStaten Island, NY 10305",40.6109595,-74.060351,Richmond County
Condo,Midas Realty,759000,3,2,1200,206-04 Emily Rd Unit 37M,"Bayside, NY 11360","206-04 Emily Rd Unit 37MBayside, NY 11360",40.7881763,-73.7877051,Queens County
House,ONLY NINE REALTY LLC,275000,4,1,2184,579 E 29th St,"Brooklyn, NY 11210","579 E 29th StBrooklyn, NY 11210",40.6366859,-73.9488175,Kings County
Condo,COMPASS,499000,1,1,630,157 E 72nd St Apt 8I,"Manhattan, NY 10021","157 E 72nd St Apt 8IManhattan, NY 10021",40.7702318,-73.9610161,New York County
House,TREBACH REALTY INC,1249000,3,2,2184,3021 Arlington Ave,"Bronx, NY 10463","3021 Arlington AveBronx, NY 10463",40.8822913,-73.9137305,Bronx County
Co-op,Utopia Real Estate,69900,2,1,700,61 Edgewater Park Unit B,"Bronx, NY 10465","61 Edgewater Park Unit BBronx, NY 10465",40.8224987,-73.8111568,Bronx County
Foreclosure,"Island Advantage Rlty, Llc",1749900,5,4,3740,517 W 142nd St,"New York, NY 10031","517 W 142nd StNew York, NY 10031",40.824015,-73.9502067,New York County
Co-op,Charles H. Greenthal Property,1399000,3,4,1993,269-10 Grand Central Pkwy Unit 21W,"Floral Park, NY 11005","269-10 Grand Central Pkwy Unit 21WFloral Park, NY 11005",40.7566899,-73.72075,Queens County
Condo,Douglas Elliman - Roslyn,649000,3,2,1182,163-04 71st Ave Unit 122,"Fresh Meadows, NY 11365","163-04 71st Ave Unit 122Fresh Meadows, NY 11365",40.7302938,-73.8059248,Queens County
House,WW Realty Group Inc,499000,5,2,1760,2774 Marion Ave,"Bronx, NY 10458","2774 Marion AveBronx, NY 10458",40.8663864,-73.8878945,Bronx County
Multi-family home,Julia B. Fee Sotheby's International Realty,1050000,5,4,3132,2818 Miles Ave,"Bronx, NY 10465","2818 Miles AveBronx, NY 10465",40.8176549,-73.8197053,Bronx County
Pending,HOT HOMES REALTY LLC.,90000,1,1,660,16 Mapleton Ave,"Staten Island, NY 10306","16 Mapleton AveStaten Island, NY 10306",40.574451,-74.0929448,Richmond County
Townhouse,Exp Realty,650000,3,2,1638,1544 Ohm Ave,"Bronx, NY 10465","1544 Ohm AveBronx, NY 10465",40.8454501,-73.8209766,Bronx County
Condo,Douglas Elliman - 575 Madison Ave,500000,4,3,1794,251 W 89th St Apt 6E,"New York, NY 10024","251 W 89th St Apt 6ENew York, NY 10024",40.7905714,-73.9753392,New York County
House,Real Estate Property Group LLC,350000,2,1,490,750 Patterson Ave,"Staten Island, NY 10306","750 Patterson AveStaten Island, NY 10306",40.5731273,-74.089182,Richmond County
House,Corcoran Park Slope,1099000,4,2,2184,204-34 9th Ave,"Queens, NY 11697","204-34 9th AveQueens, NY 11697",40.5595612,-73.9147409,Queens County
Co-op,RE MAX Boutique Realty,90000,1,1,450,1383 Plimpton Ave Apt 1C,"Bronx, NY 10452","1383 Plimpton Ave Apt 1CBronx, NY 10452",40.8423705,-73.9234444,Bronx County
House,Laffey Real Estate,839000,4,2,2184,158-35 87th St,"Howard Beach, NY 11414","158-35 87th StHoward Beach, NY 11414",40.6590909,-73.8451972,Queens County
House,Anthony Napolitano Homes,399999,3,1,2184,178 Beach 24th St,"Far Rockaway, NY 11691","178 Beach 24th StFar Rockaway, NY 11691",40.5950021,-73.7577376,Queens County
Condo,Homefinders of SI Inc.,250000,3,1,2184,3105 Avenue V Apt 1F,"Brooklyn, NY 11229","3105 Avenue V Apt 1FBrooklyn, NY 11229",40.5997081,-73.9344974,Kings County
For sale,Built by Toll Brothers,1740000,2,2,1132,The Rockwell # 6H,"New York, NY 10025","The Rockwell # 6HNew York, NY 10025",40.7986579,-73.9679035,New York County
House,Epiphany Realty Llc,650000,4,2,2244,115115 220th St,"Cambria Heights, NY 11411","115115 220th StCambria Heights, NY 11411",40.6968706,-73.7390395,Queens County
House,Re/Max Edge,1165000,3,4,3500,67 Dexter Ave,"Staten Island, NY 10309","67 Dexter AveStaten Island, NY 10309",40.5397292,-74.2155251,Richmond County
House,"Homes R Us Realty of NY, Inc.",729900,3,2,1150,447 Vernon Ave,"Staten Island, NY 10309","447 Vernon AveStaten Island, NY 10309",40.5302132,-74.1981906,Richmond County
House,Winzone Realty Inc,1880000,3,4,3150,3758 Bayview Ave,"Brooklyn, NY 11224","3758 Bayview AveBrooklyn, NY 11224",40.5805262,-74.0061062,Kings County
Co-op,Charles H. Greenthal Property,449000,2,2,1549,26910 Grand Central Pkwy Apt 22L,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",40.7577991,-73.7159564,Queens County
House,Keller Williams City Views,1175000,3,2,2250,251 Beach 140th St,"Rockaway Park, NY 11694","251 Beach 140th StRockaway Park, NY 11694",40.57372,-73.8577786,Queens County
Townhouse,"Garfield, Leslie J. & Co., Inc.",2750000,3,2,2184,16 Gay St,"New York, NY 10014","16 Gay StNew York, NY 10014",40.7336687,-74.000518,New York County
House,Hauseit LLC,995000,3,2,2184,159-03 83rd St,"Howard Beach, NY 11414","159-03 83rd StHoward Beach, NY 11414",40.657686,-73.8489131,Queens County
Condo,COMPASS,2000000,3,2,2000,200 Rector Pl Unit 27EF,"Manhattan, NY 10280","200 Rector Pl Unit 27EFManhattan, NY 10280",40.7086444,-74.0161953,New York County
House,Keller Williams Rlty Landmark,2600000,5,4,3024,214-42 27th Ave,"Bayside, NY 11360","214-42 27th AveBayside, NY 11360",40.7780417,-73.7739629,Queens County
Co-op,Corcoran East Side,550000,1,1,2184,609 Columbus Ave Apt 10I,"New York, NY 10024","609 Columbus Ave Apt 10INew York, NY 10024",40.7887084,-73.9700091,New York County
Pending,E House Realty & Mgt. Inc.,769000,3,4,2184,290 Lake Ave,"Staten Island, NY 10303","290 Lake AveStaten Island, NY 10303",40.6291962,-74.1518654,Richmond County
House,TALK OF THE TOWN REALTY C,675000,3,2,2400,2519 Mill Ave,"Brooklyn, NY 11234","2519 Mill AveBrooklyn, NY 11234",40.610206,-73.91065,Kings County
House,Gateway Arms Realty Corp.,879000,4,2,1238,48 Princewood Ave,"Staten Island, NY 10309","48 Princewood AveStaten Island, NY 10309",40.5273247,-74.1983282,Richmond County
House,KELLER WILLIAMS REALTY LANDMARK II,918888,3,2,2184,30-36 88th St,"East Elmhurst, NY 11369","30-36 88th StEast Elmhurst, NY 11369",40.760703,-73.880887,Queens County
Townhouse,COMPASS,2400000,4,2,1892,396 A 9th St Unit 2,"Brooklyn, NY 11215","396 A 9th St Unit 2Brooklyn, NY 11215",40.6674938,-73.9832146,Kings County
House,Jamie & Connie Real Estate Grp,1730000,6,2,3024,45-12 244th St,"Little Neck, NY 11362","45-12 244th StLittle Neck, NY 11362",40.765022,-73.7422005,Queens County
Multi-family home,Sowae Corp,425000,5,2,2184,755 Coster St,"Bronx, NY 10474","755 Coster StBronx, NY 10474",40.8159966,-73.8881001,Bronx County
House,East Coast REALTORS Inc,2500000,5,2,1450,33-02 Parsons Blvd,"Flushing, NY 11354","33-02 Parsons BlvdFlushing, NY 11354",40.7679673,-73.8246067,Queens County
House,RE MAX Elite,998000,4,4,2000,336 Bethel Ave,"Staten Island, NY 10307","336 Bethel AveStaten Island, NY 10307",40.515251,-74.235145,Richmond County
House,Coldwell Banker Advantage,1195000,4,4,2688,222 Hart Blvd,"Staten Island, NY 10301","222 Hart BlvdStaten Island, NY 10301",40.6296431,-74.1005274,Richmond County
House,RE MAX Real Estate Professionals,1649000,3,2,2052,1217 84th St,"Brooklyn, NY 11228","1217 84th StBrooklyn, NY 11228",40.6164182,-74.0142443,Kings County
House,"Homes R Us Realty of NY, Inc.",955000,4,4,2100,82 Vineland Ave,"Staten Island, NY 10312","82 Vineland AveStaten Island, NY 10312",40.551184,-74.1840649,Richmond County
Multi-family home,LJ Realty Team Inc,949000,6,3,2184,117-37 141st St,"Jamaica, NY 11436","117-37 141st StJamaica, NY 11436",40.677393,-73.800094,Queens County
House,Keller Williams Rlty Landmark,880000,3,2,1743,190-16 33rd Ave,"Flushing, NY 11358","190-16 33rd AveFlushing, NY 11358",40.7668312,-73.7911175,Queens County
Contingent,"Tom Crimmins Realty, Ltd.",899999,3,2,1784,61 Prescott Ave,"Staten Island, NY 10306","61 Prescott AveStaten Island, NY 10306",40.5788586,-74.11209,Richmond County
Condo,J Milo Real Estate,198000,1,1,750,118-18 Union Tpke Unit 7D,"Queens, NY 11415","118-18 Union Tpke Unit 7DQueens, NY 11415",40.7127599,-73.83433,Queens County
