type,broker,price,beds,baths,sqft,address,state,address_full,lat,lon,sub_locality
Condo,Block & Lot Real Estate SVC,648888,2,2,950,152-18 Union Tpke Unit 11D,"Flushing, NY 11367","152-18 Union Tpke Unit 11DFlushing, NY 11367",40.7188694,-73.8111217,Queens County
Co-op,COMPASS,995000,1,1,2184,250 W 22nd St Apt 4B,"Manhattan, NY 10011","250 W 22nd St Apt 4BManhattan, NY 10011",40.7440497,-73.9980389,New York County
Co-op,Joe Hasselt Real Estate,154900,1,1,700,3 Fordham Hill Oval Apt 4A,"Bronx, NY 10468","3 Fordham Hill Oval Apt 4ABronx, NY 10468",40.8646563,-73.9082145,Bronx County
Condo,RE/MAX Edge,399000,1,1,577,231 68th St Apt 303,"Brooklyn, NY 11220","231 68th St Apt 303Brooklyn, NY 11220",40.6373585,-74.0272224,Kings County
Condo,NoBroker,589000,3,1,415,500 W 43rd St Apt 12G,"New York, NY 10036","500 W 43rd St Apt 12GNew York, NY 10036",40.7602412,-73.9954328,New York County
Pending,Calabrese Real Estate,565000,2,2,1238,537 Annadale Rd,"Staten Island, NY 10312","537 Annadale RdStaten Island, NY 10312",40.5493207,-74.1744217,Richmond County
Townhouse,NextHome Prestige,760000,2,2,2337,142 Commodore Dr,"Staten Island, NY 10309","142 Commodore DrStaten Island, NY 10309",40.5148559,-74.2032529,Richmond County
Condo,Corcoran East Side,3795000,3,3,2250,201 E 80th St Apt 16A,"New York, NY 10075","201 E 80th St Apt 16ANew York, NY 10075",40.7747519,-73.9561067,New York County
Co-op,RE/MAX City Square,199999,3,1,471,110-20 71st Ave Unit 231,"Forest Hills, NY 11375","110-20 71st Ave Unit 231Forest Hills, NY 11375",40.7223099,-73.84153,Queens County
Co-op,Brown Harris Stevens - 1926 Broadway,2500000,3,2,3200,116 W 29th St Apt 3,"Manhattan, NY 10001","116 W 29th St Apt 3Manhattan, NY 10001",40.7468872,-73.9910651,New York County
House,Duradox Management,749999,3,2,2184,536 E 51st St,"Brooklyn, NY 11203","536 E 51st StBrooklyn, NY 11203",40.6485435,-73.9292272,Kings County
Co-op,COMPASS,1595000,2,2,2184,210 Riverside Dr Apt 6B,"Manhattan, NY 10025","210 Riverside Dr Apt 6BManhattan, NY 10025",40.7942107,-73.9761618,New York County
Co-op,New Group Realty Inc,258000,3,1,500,149-43 35th Ave Unit 2J,"Flushing, NY 11354","149-43 35th Ave Unit 2JFlushing, NY 11354",40.7666016,-73.8157611,Queens County
House,Precious Properties Corp.,685000,3,2,1280,59 Bartlett Ave,"Staten Island, NY 10312","59 Bartlett AveStaten Island, NY 10312",40.5491914,-74.1660279,Richmond County
Multi-family home,Perfect Properties Corp,599000,5,2,2184,13-73 Beach Channel Dr,"Far Rockaway, NY 11691","13-73 Beach Channel DrFar Rockaway, NY 11691",40.607379,-73.754678,Queens County
Condo,Sotheby's International Realty - Downtown Manhattan,3250000,3,2,2292,71 Ludlow St Apt 4B,"New York, NY 10002","71 Ludlow St Apt 4BNew York, NY 10002",40.7175362,-73.9899587,New York County
Condo,"Tom Crimmins Realty, Ltd.",245000,1,1,800,1100 Clove Rd Apt 7B,"Staten Island, NY 10301","1100 Clove Rd Apt 7BStaten Island, NY 10301",40.6189484,-74.1071576,Richmond County
Co-op,Ernest Chi Real Estate LLC,729000,3,2,1400,4555 Henry Hudson Pkwy Apt 903,"Bronx, NY 10471","4555 Henry Hudson Pkwy Apt 903Bronx, NY 10471",40.8924692,-73.9091145,Bronx County
Multi-family home,Richard Greco Real Estate,779000,3,2,1557,1760 Tomlinson Ave,"Bronx, NY 10461","1760 Tomlinson AveBronx, NY 10461",40.8494439,-73.8515779,Bronx County
Condo,eXp Realty BKNY,1090000,3,3,1295,1845 52nd St Apt 27,"Brooklyn, NY 11204","1845 52nd St Apt 27Brooklyn, NY 11204",40.6260941,-73.9815074,Kings County
Co-op,Dreamlife Realty New York Llc,365000,2,1,925,393 Avenue S Apt 4A,"Brooklyn, NY 11223","393 Avenue S Apt 4ABrooklyn, NY 11223",40.602199,-73.9709488,Kings County
Pending,COMPASS,1099000,1,1,715,2 Northside Piers Apt 6F,"Brooklyn, NY 11249","2 Northside Piers Apt 6FBrooklyn, NY 11249",40.719753,-73.9642643,Kings County
Condo,UbiQ NY Ltd,1990000,2,2,1309,124 W 24th St Apt 2D,"New York, NY 10011","124 W 24th St Apt 2DNew York, NY 10011",40.7439229,-73.9937052,New York County
Multi-family home,Exp Realty,1200000,6,4,2808,4036 Bell Ave,"Bronx, NY 10466","4036 Bell AveBronx, NY 10466",40.8928243,-73.8348075,Bronx County
Co-op,Reliable Sell & Buy Realty Inc,473000,2,1,1000,150 W End Ave Apt 5H,"Brooklyn, NY 11235","150 W End Ave Apt 5HBrooklyn, NY 11235",40.5782536,-73.9534785,Kings County
Co-op,COMPASS,2348000,3,4,2184,860 United Nations Plz Units 31 & 32D,"Manhattan, NY 10017","860 United Nations Plz Units 31 & 32DManhattan, NY 10017",40.7526263,-73.9658766,New York County
Condo,Brown Harris Stevens,995000,1,1,2184,305 Second Ave Unit 20,"Manhattan, NY 10003","305 Second Ave Unit 20Manhattan, NY 10003",40.7344156,-73.9836325,New York County
Townhouse,COMPASS,2950000,4,4,2184,111 Nelson St,"Brooklyn, NY 11231","111 Nelson StBrooklyn, NY 11231",40.6773575,-74.0013329,Kings County
Co-op,Jeskell Realty Llc,133000,1,1,630,3231 Barker Ave Unit Ld,"Bronx, NY 10467","3231 Barker Ave Unit LdBronx, NY 10467",40.8720291,-73.8695302,Bronx County
Contingent,R New York,468000,3,1,2184,170 W End Ave Apt 3F,"New York, NY 10023","170 W End Ave Apt 3FNew York, NY 10023",40.7767637,-73.9843469,New York County
Multi-family home,BESMATCH REAL ESTATE,850000,5,3,3024,931 Tilden St,"Bronx, NY 10469","931 Tilden StBronx, NY 10469",40.8770223,-73.8585612,Bronx County
Multi-family home,RE MAX Elite,995000,6,3,2125,52 28th Ave,"Brooklyn, NY 11214","52 28th AveBrooklyn, NY 11214",40.5895073,-73.9855167,New York County
Co-op,COMPASS,1850000,3,2,2184,235 E 22nd St Apt 11S,"Manhattan, NY 10010","235 E 22nd St Apt 11SManhattan, NY 10010",40.7377082,-73.9819095,New York County
